,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,b1_2,b5_2,l_2,vol_2,espmin_2,espmax_2,b1_3,b5_3,l_3,vol_3,espmin_3,espmax_3,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_292,1.683310681565633,6.022967582125523,4.423502319775366,43.087994977072896,38.21177244846759,142.46849137151992,1.664705470232183,1.664904418556874,2.354496945328187,5.651260322335564,67.07078772208645,149.37319643222213,1.6648099857200591,1.6649134001283796,2.354441900520573,5.651687191155215,66.82955764546992,152.77085385673436,1.664813667611815,1.6648560682696223,2.354403159845115,5.651386536428094,67.29095400010422,151.01794217412638,-5.9435,0.6783,-0.03366,-0.02464,4.7,4.45,4.38,-0.24064,0.08864,181.1235285714285,40.33155714285714,25.328471428571422,26.294699999999995,8.803042857142858,1.9211857142857145,0.1100571428571428,0.0,0.0,0.0,162.96078571428566,33.8144857142857,27.05000000000001,30.22018571428572,20.815214285714283,7.711428571428567,1.2670714285714284,0.0733714285714285,0.0,0.0,0.24021284239253773
react_295,3.1094375539592995,5.300803637504963,6.062200057012669,33.60564465301248,46.6830910430737,142.69496324118788,1.6878213513876883,3.285852226410562,8.09222672075804,1.832990714635817,32.17253886406736,142.76721424219193,1.6648309331412454,1.6648692536874357,2.35444715734874,5.651612074957892,66.80172019590803,146.9749761627788,1.6647599596272316,1.6649016731530817,2.354492949129688,5.651700158064408,67.04008079722472,152.4288884300403,-5.5831,-0.6364,-0.04733,0.01143,5.39,4.97,4.34,-0.24794,0.08112,216.16066666666663,38.21366666666668,89.31966666666669,8.019,0.0,0.0,0.0,0.0,0.0,0.0,186.72566666666663,38.62266666666667,60.58233333333333,60.43733333333333,5.345,0.0,0.0,0.0,0.0,0.0,0.8029499409876772
react_296,3.1094077131424216,5.3007989809513365,6.062282085813643,33.602267685981246,46.64346131006848,143.83012115625758,1.686607731848002,7.122744524252831,3.7242791665592434,9.654255671449912,32.07843020223533,142.94414549430127,0.0002760087265589,3.1017913454933885,6.063172370967095,0.0042952476374043,48.70010671471126,143.11601996135468,1.6647685242684476,1.6648809806497398,2.354378511353336,5.651130871592438,67.692342879237,150.10610665869976,-5.6309,-1.0193,-0.01928,-0.01329,5.67,4.82,4.81,-0.2447,0.04167,220.3213333333333,92.78666666666668,110.159,77.71466666666667,5.2396666666666665,0.0,0.0,0.0,0.0,0.0,247.28866666666667,38.553333333333335,146.848,68.22800000000001,5.303333333333334,0.0,0.0,0.0,0.0,0.0,1.4480892399769236
react_297,1.6750451666487638,5.955314745513243,5.2104849701676255,44.93745326228066,36.13688226876457,144.0156698704028,3.1095501318172536,4.321455965070676,6.06165093125176,11.611907741489508,47.01946479564044,142.01027266208567,1.6647684800631382,1.664840125533827,2.354481172865416,5.651407641612256,67.37519884059304,145.76678511890293,0.000294840167264,3.1017561361608035,6.063151587179372,0.0041004528824953,48.59924874928352,146.05605995600587,-5.531,-1.1302,-0.01169,-0.00685,5.83,5.17,3.89,-0.23876,0.0561,250.91960000000003,8.294799999999999,149.4362,65.58040000000001,5.264999999999999,0.0,0.0,0.0,0.0,0.0,220.671,51.1716,119.7262,81.63520000000001,5.7598,0.5322,0.0,0.0,0.0,0.0,1.1528306594025557
react_293,1.6647601409609012,1.6648871597244816,2.3545026435305285,5.651820836496862,66.87953764515872,149.62009787666852,1.6647808410378957,1.664854512505579,2.354456328825878,5.651372207430705,67.05836579564192,150.2177757965161,1.6647808410378957,1.664854512505579,2.354456328825878,5.651372207430705,67.05836579564192,150.2177757965161,0.0002688352741334,3.1017877949972235,6.063089039412868,0.0021987908362709,49.0719336855104,146.57702766706078,-6.0787,-0.1998,-0.0497,-0.00451,4.9,4.8,4.63,-0.23997,0.04554,223.8946666666667,13.121166666666667,86.36866666666667,7.931333333333335,0.0,0.0,0.0,0.0,0.0,0.0,167.05100000000002,69.96483333333333,4.794,84.65216666666667,4.853833333333333,0.0,0.0,0.0,0.0,0.0,0.48793178413114996
react_294,1.6748500421551906,5.955719304772579,5.209983119706932,44.93329649324308,36.34197231803488,145.96178569442498,1.6648065813066109,1.664819327964416,2.3544647242134507,5.6515724373285385,66.93549310376608,151.7286447149942,1.676143536042697,6.0587919418349125,3.3841448377346643,29.236650319909423,36.183966249502994,146.50233797600734,1.6647227194124214,1.6648798289002444,2.3545116564372126,5.651357389877494,67.26018018273311,150.17661180285913,-6.2228,-0.1939,-0.01989,-0.01988,4.63,4.63,3.94,-0.23991,0.04612,187.20271604938264,95.49564197530866,75.42172839506172,126.29707407407405,48.76072839506173,6.185765432098765,0.3592962962962963,0.0,0.0,0.0,187.68817283950617,79.32603703703701,86.75082716049381,119.50287654320992,56.15528395061729,9.67934567901234,0.6204074074074074,0.0,0.0,0.0,0.353763859687799
react_305,1.6822711013892877,3.09206871906693,3.695017164747308,19.08050190197655,56.05519766065187,148.91219779308926,0.0004225301180019,3.101718384587965,6.063164181481212,0.0075057694966175,48.7112464510578,146.13983259561925,1.6647912866184098,1.6648626126281636,2.354483001368935,5.651410008166192,67.22813998850259,148.80321238776995,1.6822368097227705,3.092008434137876,3.695058555472238,10.823650772627255,55.57114476288458,147.54166866906226,-5.8707,-0.8677,-0.01539,-0.03382,8.58,8.57,5.81,-0.23968,0.04865,163.4945,47.628875,37.6395,71.60125000000001,4.604125000000001,0.0,0.0,0.0,0.0,0.0,194.548,36.24649999999999,86.30749999999999,7.866249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.5126175079350523
react_310,1.6821764687098768,3.0920193325353096,3.695110424489972,19.079533180019133,55.780876625198985,148.65611770488883,1.6936449431393714,7.6506244410186,4.758226426924184,17.603569049992135,34.629148764099234,140.70081169281565,1.6647491277257904,1.6647816497969434,2.354564672612153,5.651277684213053,67.36037530990875,151.02680718864778,1.6822082737285655,3.0919963985118626,3.695063337895213,19.07945459410841,55.80568703183336,145.81924409474902,-5.774,-0.1171,-0.0493,0.00085,8.65,8.57,5.86,-0.24198,0.04539,158.45052777777775,53.39378333333331,67.19289444444445,131.18461666666664,118.84368333333336,83.9462222222223,39.43514444444443,14.568061111111104,0.8015388888888888,0.0,145.11443333333335,114.41538888888884,83.09233333333334,175.63529999999997,62.0591833333333,73.42804999999997,13.343733333333333,0.7280500000000001,0.0,0.0,0.6712672806892843
react_298,3.109386647595888,5.300795238961553,6.062273276939167,33.60057841984143,47.25348849076404,142.5929337155815,1.6867231321799103,7.122754857207137,3.724370045147333,9.654506868181825,29.65185108561233,140.59846621619164,1.66479355691138,1.6648975098735437,2.3544361860918435,5.651550445879733,67.4840857269257,150.702243917299,1.9268816501413584,3.0445445751319284,3.4400287955954933,8.785330538414566,59.34253942252148,152.65842285967173,-5.5522,-0.755,0.30827,-0.03512,6.5,6.0,4.73,-0.25995,0.06894,230.351875,37.956,89.159125,7.865500000000001,0.0,0.0,0.0,0.0,0.0,0.0,179.13737500000002,56.72325,63.898375,60.333625000000005,5.2398750000000005,0.0,0.0,0.0,0.0,0.0,0.787721289150066
react_299,1.4232292083002525,6.227435169120974,5.188101150733848,44.68205181177047,40.59342766019729,149.33201242101313,1.6647755934719155,1.6648884744301382,2.354437073857296,5.65142012716005,67.11849036441036,152.97258817361728,1.687844663686771,3.2859513788917445,8.092213025707826,1.8328187644139564,29.426622437704346,143.68192990057935,3.109347247404859,5.300787516438608,6.062141691945861,33.60463883034278,47.23681989398804,139.38116091103325,-5.4019,-0.6236,0.32276,-0.05111,6.21,5.77,5.22,-0.25784,0.07551,280.4826730769232,104.69005769230768,170.26246153846154,47.87090384615386,10.08267307692308,0.3446923076923077,0.0,0.0,0.0,0.0,181.06188461538463,118.2186730769231,132.56055769230767,124.65119230769233,50.74267307692308,6.10428846153846,0.3941923076923077,0.0,0.0,0.0,0.8608426258666602
react_300,1.822415758816108,4.759250443485191,6.595591084608271,57.205585148240814,39.166247295063705,150.06063242800215,0.000400445019711,3.101722136367626,6.0630753677249,0.0074005041648173,48.84418677935238,145.30078165249816,1.6867982005854196,7.122696515042168,3.724268712723462,9.656264703601336,27.689742743516057,145.6218324395942,3.10941092235721,5.300732513810001,6.062249906398212,33.60056468446124,46.8260784882274,141.73449881671016,-5.4196,-1.0223,0.35912,-0.0846,7.52,6.71,5.62,-0.23818,0.05236,289.6675833333333,123.59760416666666,234.44997916666668,107.06072916666665,13.205604166666667,0.2116041666666666,0.0,0.0,0.0,0.0,239.18391666666665,131.04910416666667,212.50106250000007,131.37868750000007,48.86991666666668,5.210416666666666,0.0,0.0,0.0,0.0,1.8943307630038735
react_301,1.6750467343212565,5.955487762494535,5.210155259352718,44.93607502821656,36.28285119965832,147.25984519314895,3.1094706694313765,4.321424642263282,6.061684088619348,11.614990310831953,47.28417778260968,140.84754298496327,1.4230132196796157,6.227248377859559,5.188335042986626,44.68118578515564,40.51091669112228,143.8452330902938,1.6647741112499108,1.664813801076468,2.35446435422165,5.65102270399321,66.89543992737117,150.7635999106494,-5.3823,-0.4443,-0.06965,0.3484,8.65,4.91,4.88,-0.25285,0.0681,187.22591176470596,86.5174705882353,132.66432352941175,116.20635294117643,52.95741176470588,10.595323529411765,0.6025882352941176,0.0,0.0,0.0,276.5622647058824,88.7805588235294,164.9495588235294,48.164147058823545,8.237529411764704,0.0753235294117647,0.0,0.0,0.0,0.0,1.2934996229268791
react_302,1.6749042763877555,5.95556283087385,5.210131707720618,44.933485723029165,36.25953326154501,146.5265257677466,3.10948711546192,4.32137089455035,6.061775744492365,11.613684821327851,47.20645395777177,142.69131057131978,1.4233409517703084,6.2273141989077,5.188232246854674,44.69038309267776,40.53352554353561,147.5735970411054,1.81168158442573,3.101781211140722,6.06311347407856,7.004455182288957e-05,48.55167022833257,142.38872349733768,-5.2821,-1.1487,-0.07789,0.36916,9.69,8.27,7.13,-0.23901,0.04846,247.81964705882348,82.30164705882353,221.7716470588236,125.81005882352942,52.96135294117647,9.61635294117647,1.0451764705882352,0.0,0.0,0.0,301.5873529411765,89.95729411764707,222.633294117647,111.26058823529412,15.73711764705882,0.150235294117647,0.0,0.0,0.0,0.0,1.5435335641084713
react_306,1.686658232998724,4.556852073117749,5.523675607369265,39.79807460467431,22.09856434868447,154.4077647036615,1.682288970516032,3.092081770002538,3.695026664807993,19.08083282692144,55.55783873834917,149.50231114903897,3.112842507501928,5.445691186072061,6.060646441230026,13.314243104152046,43.83280642606431,137.88305509589796,2.475871444352097,5.558113385343838,3.4663262467213585,23.939711068378617,31.37817789030949,151.42284039996454,-5.4856,-0.7782,0.69426,-0.16636,9.82,7.33,6.67,-0.39407,0.0144,181.32235135135136,96.3260810810811,118.06235135135134,98.4111081081081,7.952324324324324,0.0,0.0,0.0,0.0,0.0,222.54881081081083,57.97494594594594,119.7636216216216,66.6124054054054,32.26189189189189,2.91254054054054,0.0,0.0,0.0,0.0,1.1347740141156684
react_307,1.415981494046144,4.4552225166978685,7.808181284875781,39.678617120836776,31.35178697557555,149.22585764815756,3.109207775383445,4.707891773156896,6.063927660601684,37.57853934351642,34.40445626028156,137.5829031979122,1.6822497630907691,3.092101779053751,3.695019076433003,10.825067848943275,58.90493395988727,148.9497851082748,1.822202546289687,4.759403210644779,6.595305445513408,37.99408925307625,40.76743409067164,148.90504305562564,-5.0209,-0.3773,0.73124,-0.20433,5.93,5.72,4.98,-0.26242,0.05669,258.43068750000003,135.6291875,127.52649999999998,95.852,9.66475,0.0,0.0,0.0,0.0,0.0,225.1983125,33.2179375,199.78468749999996,126.7224375,29.895125,11.809625,0.475,0.0,0.0,0.0,0.459880754927536
react_308,3.109140811358675,4.707813371476657,6.06385249368388,37.57355787155169,47.36267382060015,134.81920133342027,2.475839238610414,5.558314930136249,3.466031076553644,23.938642862046084,36.1913493376624,144.78582008557487,2.17108795808232,6.59033471883857,4.054051207027463,2.1661970405158413,28.85970340050258,151.67152867762394,1.682180009004416,3.092182501684772,3.694934806407266,10.824895271503674,55.68290394830969,147.34257930459114,-5.5076,-1.6222,-0.16464,0.69149,7.48,6.64,4.56,-0.24532,0.0468,222.7528378378379,66.30464864864865,149.568972972973,71.18929729729732,42.11551351351351,19.298297297297303,3.6720810810810818,0.7827027027027027,0.0,0.0,181.71229729729728,127.70183783783789,118.88462162162162,114.68767567567568,23.87716216216216,8.232513513513512,0.5882432432432433,0.0,0.0,0.0,0.459880754927536
react_309,1.256015904459955,6.167852725809141,6.561687044796779,39.46692902035981,42.36392140511529,146.0749727776468,1.6822397279835448,3.0920899725900024,3.6951227520563648,10.82405077341816,55.72753775557547,148.93925211083385,3.109189152417284,4.707750789071444,6.063817478400079,37.5715841751975,44.81347690644762,138.05404515110575,2.4758571085823395,5.558308631514091,3.466104942328582,23.940078801064136,31.31404548131349,145.7979282883475,-5.0048,-0.3877,0.73378,-0.2028,5.93,5.73,4.96,-0.26196,0.05602,254.28908411214948,155.90099065420563,148.72738317757003,124.60764485981304,23.029588785046727,0.0,0.0,0.0,0.0,0.0,225.0936261682242,34.993429906542055,225.40637383177577,140.43586915887852,47.62481308411216,31.440560747663557,1.5600186915887853,0.0,0.0,0.0,0.3359907203992285
react_303,1.4231985664293447,6.22724472130412,5.18821563211477,44.68532915969191,40.46236791503036,148.38187937518396,0.0003309273145818,3.1017812116436896,6.0631890854625645,0.0040740325961444,48.75191678301546,145.47668535785203,1.6647836699817191,1.6648979518990303,2.354437901343214,5.651688739156781,67.40347523302849,146.6393436871478,1.8117193586059568,3.1017141617507127,6.06313540536448,0.0019046318304788,48.84375699811706,145.48419526567514,-5.5657,-0.8428,0.34719,-0.08015,7.05,6.56,6.1,-0.23603,0.05063,284.4761944444446,109.49752777777778,219.83294444444445,116.91680555555556,16.507055555555556,0.7762777777777777,0.0,0.0,0.0,0.0,221.9704166666667,109.83236111111108,203.17750000000004,151.5819722222222,45.16516666666666,15.432444444444444,0.8469444444444444,0.0,0.0,0.0,1.1397907616801919
react_304,1.822065305074296,4.759514139420888,6.595298349482309,37.990935092884826,39.33815621238698,147.58579431916004,1.6647142289334904,1.6648752488909129,2.3544633679819538,5.651417976394139,67.0918489478964,145.34411714267256,0.0001878862227875,3.1017025932574587,6.063140180144654,0.0033668901433599,48.852170645077415,144.88341669603938,1.8118621296100768,3.101728800055996,6.06312460138352,0.001656799425292,48.48715127350366,144.32465804297627,-5.4866,-0.8148,0.34887,-0.07919,7.47,5.65,5.33,-0.23634,0.05051,272.7581142857143,119.68451428571424,229.02842857142852,112.03125714285716,14.50957142857143,0.0726857142857142,0.0,0.0,0.0,0.0,220.15322857142857,96.61754285714284,230.2168571428571,143.80568571428572,43.64565714285715,12.917600000000002,0.7280000000000001,0.0,0.0,0.0,0.7227203636356501
